times,x,y
0,0.696,0.955
0.033,0.699,0.962
0.067,0.696,0.963
0.1,0.699,0.96
0.133,0.692,0.952
0.167,0.688,0.955
0.2,0.687,0.955
0.233,0.687,0.909
0.267,0.698,0.71
0.3,0.698,0.72
0.333,0.732,0.522
0.367,0.735,0.506
0.4,0.743,0.47
0.433,0.743,0.47
0.467,0.743,0.47
0.5,0.743,0.47
0.533,0.743,0.47
0.567,0.743,0.47
0.6,0.721,0.677
0.633,0.694,0.85
0.667,0.694,0.85
0.7,0.674,0.888
0.733,0.681,0.916
0.767,0.681,0.916
0.8,0.689,0.942
0.833,0.718,0.929
0.867,0.718,0.929
0.9,0.729,0.94
0.933,0.732,0.944
0.967,0.733,0.944
1,0.742,0.947
1.033,0.744,0.949
1.067,0.744,0.949
1.1,0.732,0.952
1.133,0.678,0.95
1.167,0.678,0.95
1.2,0.697,0.734
1.233,0.697,0.734
1.267,0.728,0.542
1.3,0.74,0.465
1.333,0.752,0.439
1.367,0.765,0.422
1.4,0.765,0.422
1.433,0.765,0.422
1.467,0.781,0.386
1.5,0.781,0.386
1.533,0.781,0.386
1.567,0.779,0.376
1.6,0.779,0.376
1.633,0.779,0.376
1.667,0.779,0.375
1.7,0.776,0.367
1.733,0.773,0.437
1.767,0.782,0.375
1.8,0.782,0.375
1.833,0.782,0.375
1.867,0.784,0.36
1.9,0.783,0.36
1.933,0.782,0.357
1.967,0.78,0.365
2,0.78,0.365
2.033,0.78,0.365
2.067,0.78,0.365
2.1,0.78,0.365
2.133,0.778,0.367
2.167,0.786,0.425
2.2,0.786,0.425
2.233,0.786,0.425
2.267,0.762,0.638
2.3,0.743,0.782
2.333,0.737,0.811
2.367,0.729,0.899
2.4,0.729,0.899
2.433,0.729,0.899
2.467,0.728,0.929
2.5,0.728,0.929
2.533,0.728,0.927
2.567,0.728,0.927
2.6,0.728,0.927
2.633,0.725,0.927
2.667,0.71,0.94
2.7,0.703,0.947
2.733,0.696,0.947
2.767,0.691,0.916
2.8,0.691,0.916
2.833,0.691,0.916
2.867,0.682,0.885
2.9,0.664,0.744
2.933,0.666,0.551
2.967,0.709,0.479
3,0.709,0.479
3.033,0.709,0.479
3.067,0.718,0.427
3.1,0.728,0.399
3.133,0.732,0.386
3.167,0.732,0.386
3.2,0.732,0.386
3.233,0.732,0.386
3.267,0.732,0.386
3.3,0.732,0.386
3.333,0.732,0.386
3.367,0.732,0.386
3.4,0.732,0.386
3.433,0.732,0.386
3.467,0.732,0.386
3.5,0.729,0.493
3.533,0.718,0.73
3.567,0.714,0.81
3.6,0.714,0.81
3.633,0.71,0.958
3.667,0.71,0.958
3.7,0.72,0.989
3.733,0.71,0.986
3.767,0.673,0.947
3.8,0.673,0.945
3.833,0.682,0.677
3.867,0.682,0.669
3.9,0.701,0.499
3.933,0.731,0.465
3.967,0.736,0.432
4,0.736,0.429
4.033,0.736,0.373
4.067,0.736,0.373
4.1,0.743,0.342
4.133,0.743,0.334
4.167,0.743,0.334
4.2,0.743,0.334
4.233,0.743,0.321
4.267,0.743,0.321
4.3,0.749,0.334
4.333,0.752,0.406
4.367,0.752,0.406
4.4,0.751,0.341
4.433,0.751,0.293
4.467,0.751,0.293
4.5,0.75,0.278
4.533,0.75,0.278
4.567,0.75,0.278
4.6,0.75,0.274
4.633,0.75,0.274
4.667,0.75,0.274
4.7,0.75,0.274
4.733,0.75,0.274
4.767,0.75,0.274
4.8,0.748,0.269
4.833,0.74,0.247
4.9,0.736,0.202
4.933,0.735,0.2
4.967,0.735,0.2
5,0.732,0.193
5.033,0.73,0.195
5.067,0.73,0.195
5.1,0.73,0.195
5.133,0.73,0.195
5.167,0.73,0.195
5.2,0.73,0.195
5.233,0.722,0.203
5.267,0.695,0.19
5.3,0.696,0.177
5.333,0.696,0.177
5.367,0.685,0.167
5.4,0.679,0.164
5.433,0.675,0.169
5.467,0.672,0.166
5.5,0.672,0.166
5.533,0.672,0.166
5.567,0.707,0.226
5.6,0.708,0.235
5.633,0.703,0.235
5.667,0.703,0.235
5.7,0.703,0.235
5.733,0.703,0.235
5.767,0.703,0.235
5.8,0.707,0.231
5.833,0.707,0.231
5.867,0.707,0.231
5.9,0.707,0.231
5.933,0.707,0.231
5.967,0.707,0.231
6,0.69,0.222
6.033,0.643,0.202
6.067,0.642,0.202
6.1,0.642,0.202
6.133,0.642,0.202
6.167,0.642,0.202
6.2,0.642,0.202
6.233,0.622,0.228
6.267,0.611,0.256
6.3,0.611,0.256
6.333,0.611,0.256
6.367,0.619,0.259
6.4,0.617,0.259
6.433,0.617,0.271
6.467,0.617,0.261
6.5,0.617,0.261
6.533,0.617,0.261
6.567,0.617,0.261
6.6,0.618,0.263
6.633,0.622,0.263
6.667,0.622,0.263
6.7,0.622,0.263
6.733,0.622,0.263
6.767,0.622,0.263
6.8,0.622,0.263
6.833,0.622,0.263
6.867,0.622,0.263
6.9,0.622,0.263
6.933,0.622,0.263
6.967,0.622,0.263
7,0.622,0.263
7.033,0.605,0.3
7.067,0.618,0.29
7.1,0.618,0.29
7.133,0.62,0.303
7.167,0.62,0.303
7.2,0.618,0.3
7.233,0.616,0.297
7.267,0.614,0.297
7.3,0.614,0.297
7.333,0.614,0.297
7.367,0.614,0.297
7.4,0.612,0.3
7.433,0.592,0.388
7.467,0.545,0.451
7.5,0.545,0.451
7.533,0.512,0.54
7.567,0.512,0.54
7.6,0.466,0.55
7.633,0.407,0.534
7.667,0.347,0.534
7.7,0.347,0.534
7.733,0.297,0.575
7.767,0.297,0.575
7.8,0.286,0.585
7.833,0.286,0.585
7.867,0.286,0.585
7.9,0.286,0.585
7.933,0.286,0.585
7.967,0.286,0.585
8,0.286,0.585
8.033,0.286,0.585
8.067,0.286,0.585
8.1,0.276,0.617
8.133,0.259,0.741
